[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_taskshenhe` [ RunTime:0.002697s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined variable: processID MethodAction.class.php 第 1020 行.
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_taskshenhe` WHERE `dataID` = '31425' and `datatype` = '报账项' and `status` = '待检出' AND (`status_system` = '1') LIMIT 1   [ RunTime:0.000387s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [2] Missing argument 4 for MethodAction::_checkDataOM(), called in E:\Myerp\Myerp\Lib\Action\MethodAction.class.php on line 887 and defined MethodAction.class.php 第 917 行.
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined variable: userID MethodAction.class.php 第 919 行.
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_dur` [ RunTime:0.002716s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_dur` WHERE `userID` = '40449' AND (`status_system` = '1')  [ RunTime:0.000306s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerp_dataOM` [ RunTime:0.002466s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,' ) LIMIT 1   [ RunTime:0.000778s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,40449' ) LIMIT 1   [ RunTime:0.000727s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,40185,' ) LIMIT 1   [ RunTime:0.000720s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40150,,40449' ) LIMIT 1   [ RunTime:0.000717s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,40449' ) LIMIT 1   [ RunTime:0.000730s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = ',40185,' ) LIMIT 1   [ RunTime:0.000729s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = ',,40449' ) LIMIT 1   [ RunTime:0.000738s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,,' ) LIMIT 1   [ RunTime:0.000791s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT DISTINCT  `dataID` FROM `myerp_dataOM` WHERE ( `dataID` = 31425 ) AND ( `datatype` = '报账项' ) AND ( `type` = '管理' ) AND ( `DUR` = '40178,40189,40449' ) LIMIT 1   [ RunTime:0.000615s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_roles` [ RunTime:0.002810s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_roles` WHERE `systemID` = '40189' LIMIT 1   [ RunTime:0.000277s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_department` [ RunTime:0.002678s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_department` WHERE `systemID` = '40178' LIMIT 1   [ RunTime:0.000291s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerpview_system_user` [ RunTime:0.002851s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SELECT * FROM `myerpview_system_user` WHERE `systemID`='40449' AND `title`='aaa' LIMIT 1   [ RunTime:0.000408s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined index:  _URL_ MethodAction.class.php 第 6 行.
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | SQL: SHOW COLUMNS FROM `myerp_chanpin` [ RunTime:0.002828s ]
[ 2012-08-21T14:13:47+08:00 ] /Index.php?s=/Chanpin/shenhe/type/%E6%94%B6%E6%94%AF%E9%A1%B9 | NOTIC: [8] Undefined variable: cpin MethodAction.class.php 第 1535 行.
